grupo_id,num_opciones_grupo,offset_hex,texto_original_jp,traduccion_esp,lineas_esp,traduccion_eng,lineas_eng,estado
119,3,0x101cf8,ゲキタイの呪文が……,"El conjuro para
ahuyentarlo......",2,"The chant to drive
it away......",2,rewrap-2026-09-15
120,3,0x101378,校内を探すしか…,"No queda otra que
buscar por la escuela...",2,"All I can do is
search the school...",2,acortado-2026-09-15
120,3,0x100ecc,…にらめっこ…,"...El juego de
miradas...",2,"...The staring
contest...",2,rewrap-2026-09-15
120,3,0x101814,ケータイで聞こう…,"Preguntemos por
celular...",2,"Let's try asking
by phone...",2,rewrap-2026-09-15
121,2,0x100018,マサキ,Masaki,1,Masaki,1,ok
121,2,0x100058,レイカ,Reika,1,Reika,1,ok
122,3,0x1010d0,８４通目のメール,Mensaje numero 84,1,Message #84,1,ok
122,3,0x100fcc,８８通目のメール,Mensaje numero 88,1,Message #88,1,ok
122,3,0x10101c,９８通目のメール,Mensaje numero 98,1,Message #98,1,ok
123,2,0x100adc,屋上に上がる,Subir a la azotea,1,Go up to the rooftop,1,ok
123,2,0x101f08,もう少し校舎内を調べる,"Investigar un poco mas
el edificio",2,"Look around the school
building a bit more",2,rewrap-2026-09-15
124,2,0x100748,…だ…誰？,...Qui-quien eres?,1,...Wh-who are you?,1,ok
124,2,0x100e8c,…もういやっ！,...Ya no quiero!,1,"...I don't want this
anymore!",2,ok
125,2,0x100c5c,顔色…悪いね…,Te ves...palida...,1,You look...pale...,1,ok
125,2,0x101184,その手首のアザ…,"Ese moreton en la
muñeca...",2,"That bruise on
your wrist...",2,rewrap-2026-09-15
126,3,0xeaea4,"調べたい場所をタッチ
してください。","Toca el lugar que quieras
revisar.",2,"Touch the spot you want
to examine.",2,ok
126,3,0xeaec8,"調べたい場所をタッチ
してください。","Toca el lugar que quieras
revisar.",2,"Touch the spot you want
to examine.",2,ok
126,3,0xeaeec,"調べたい場所をタッチ
してください。","Toca el lugar que quieras
revisar.",2,"Touch the spot you want
to examine.",2,ok
127,2,0x10a0b8,三ツ谷公園駅,Estacion Mitsuya Koen,1,Mitsuya Koen Station,1,ok
127,2,0x109fe4,玄関廊下,Pasillo de la entrada,1,Entrance hallway,1,ok
128,4,0x10a0f8,ミズキの部屋,El cuarto de Mizuki,1,Mizuki's room,1,ok
128,4,0x109fcc,リビング,Sala de estar,1,Living room,1,ok
128,4,0x109c3c,押入れ,Armario,1,Closet,1,ok
128,4,0x109fc0,玄関廊下,Pasillo de la entrada,1,Entrance hallway,1,ok
129,3,0x10a128,ミズキの部屋,El cuarto de Mizuki,1,Mizuki's room,1,ok
129,3,0x109fa8,リビング,Sala de estar,1,Living room,1,ok
129,3,0x109ff0,玄関廊下,Pasillo de la entrada,1,Entrance hallway,1,ok
